Brand,Name,MRP,Discounted Price,Discount %,Product URL
N/A,Pack of 16 Stainless Steel Cutleries,Rs.999,Rs.929,7% off,https://www.ajio.com/viners-pack-of-16-stainless-steel-cutleries/p/701290751_silver
N/A,Senator Waffle Maker for Crispy,Rs.995,Rs.599,40% off,https://www.ajio.com/bergner-senator-waffle-maker-for-crispy/p/702542945_black
N/A,Light-Weight Cast Iron Dosa Tawa,"Rs.2,320","Rs.1,499",35% off,https://www.ajio.com/wonderchef-light-weight-cast-iron-dosa-tawa/p/702598933_black
N/A,Stainless Steel Knife Sharpener,Rs.995,Rs.879,12% off,https://www.ajio.com/bergner-stainless-steel-knife-sharpener/p/466033349_black
N/A,Pack of 6 Stainless Steel Knives ,"Rs.2,699","Rs.2,510",7% off,https://www.ajio.com/viners-pack-of-6-stainless-steel-knives-/p/701290722_silver
N/A,Duralife Aluminium Die-cast Grill Pan 1.5 L,"Rs.1,860","Rs.1,249",33% off,https://www.ajio.com/wonderchef-duralife-aluminium-die-cast-grill-pan-1-5-l/p/467232522_cream
N/A,Set of 6 Stainless Steel Spoons,Rs.199,Rs.179,10% off,https://www.ajio.com/home-centre-set-of-6-stainless-steel-spoons/p/700191809_white
N/A,Hard Anodized Pan with Handle,Rs.729,Rs.729,0%,https://www.ajio.com/tuffwaire-hard-anodized-pan-with-handle/p/701517131_black
N/A,Stainless Steel Ghee Pot,Rs.299,Rs.269,10% off,https://www.ajio.com/home-centre-stainless-steel-ghee-pot/p/463215449_silver
N/A,Pack of 4 Stainless Knives & Spoons,"Rs.2,299","Rs.2,138",7% off,https://www.ajio.com/viners-pack-of-4-stainless-knives--spoons/p/701290746_silver
N/A,Stainless Steel Kitchen Knife,"Rs.1,099","Rs.1,022",7% off,https://www.ajio.com/viners-stainless-steel-kitchen-knife/p/701373635_silver
N/A,Non-Stick Flat Tawa ,"Rs.1,310","Rs.1,014",23% off,https://www.ajio.com/bergner-non-stick-flat-tawa-/p/466027737_red
N/A,"Vacuum Seal Air Tight Container, 2000 ml","Rs.2,675","Rs.2,053",23% off,https://www.ajio.com/meyer-vacuum-seal-air-tight-container-2000-ml/p/464987856_clear
N/A,6 Piece Raga 24 Karat Gold Plated Stainless Steel Tea Spoon Set,Rs.783,Rs.517,34% off,https://www.ajio.com/fns-6-piece-raga-24-karat-gold-plated-stainless-steel-tea-spoon-set/p/702260848_silver
N/A,Flexible Silicone Spatula Set ,Rs.859,Rs.223,74% off,https://www.ajio.com/baskety-flexible-silicone-spatula-set-/p/702829563_red
N/A,Set of 6 Stainless Steel Ice Cream Spoons,Rs.299,Rs.269,10% off,https://www.ajio.com/home-centre-set-of-6-stainless-steel-ice-cream-spoons/p/700325426_silver
N/A,Stainless Steel Lagdi with Stainless Steel Lid,"Rs.2,345","Rs.1,762",25% off,https://www.ajio.com/bergner-stainless-steel-lagdi-with-stainless-steel-lid/p/702019023_silver
N/A,Stella Tri-Ply Kadhai With Lid 28 ,"Rs.3,570","Rs.2,199",38% off,https://www.ajio.com/wonderchef-stella-tri-ply-kadhai-with-lid-28-/p/701504007_silver
N/A,Set of 2 Stainless Steel Pressure Cookers with Outer Lid,"Rs.3,365","Rs.2,464",27% off,https://www.ajio.com/bergner-set-of-2-stainless-steel-pressure-cookers-with-outer-lid/p/465619543_silver
