id,name,price,fePrice,priceDrop,rating,specsScore,stock,brandId,categoryId,connectivity,processor,ram_storage,battery,display,camera,os,extra_note,imageId,url
pd1fqb2pvjf,Samsung Galaxy M56 5G,23499,"₹23,499",-3.26489,90,58,UNKNOWN,2,13,"Dual Sim, 5G, VoLTE, Wi-Fi","Exynos 1480, Octa Core, 2.7 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.74 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 12 MP Front Camera,Android v15,[NO] No FM Radio,QuP9QFc8,https://www.smartprix.com/mobiles/samsung-galaxy-m56-ppd1fqb2pvjf
pd11tx5wg4l,Vivo T5 Ultra,39990,"₹39,990",0.0,86,72,UPCOMING,5921,13,"Dual Sim, 5G, VoLTE, Wi-Fi",Octa Core Processor,"8 GB RAM, 256 GB inbuilt",6200 mAh Battery with 100W Fast Charging,"6.78 inches, 1460 x 3200 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,Android v16,[NO] No FM Radio,P8wcGkpt,https://www.smartprix.com/mobiles/vivo-t5-ultra-ppd11tx5wg4l
pd1wurw9siu,Motorola Edge 60 Stylus,19990,"₹19,990",-0.2852373,94,67,UNKNOWN,4,13,"Dual Sim, 5G, VoLTE, Vo5G, NFC, eSIM, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 68W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 13 MP Dual Rear & 32 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v15,dCeQoeVJ,https://www.smartprix.com/mobiles/motorola-edge-60-stylus-ppd1wurw9siu
pd1i5d5dvnf,Vivo X300 Ultra,159999,"₹1,59,999",0.5864452,90,98,ON_SALE,5921,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","16 GB RAM, 512 GB inbuilt",6600 mAh Battery with 100W Fast Charging,"6.82 inches, 1440 x 3168 px, 144 Hz Display with Punch Hole",200 MP + 200 MP + 50 MP Triple Rear & 50 MP Front Camera,[NO] Memory Card Not Supported,Android v16,M90RBdEQ,https://www.smartprix.com/mobiles/vivo-x300-ultra-ppd1i5d5dvnf
pd14630ltjq,Motorola Moto G45 5G,10997,"₹10,997",0.0,81,54,UNKNOWN,4,13,"Dual Sim, 5G, VoLTE, Wi-Fi","Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 20W Fast Charging,"6.5 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v14,k0VBNJ9z,https://www.smartprix.com/mobiles/motorola-moto-g45-5g-ppd14630ltjq
pd1xaayrjcv,Realme P4 5G,20900,"₹20,900",-3.1636207,85,64,UNKNOWN,7096,13,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7400 Ultra, Octa Core, 2.6 GHz Processor","6 GB RAM, 128 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.77 inches, 1080 x 2392 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15,[NO] No FM Radio,uCNkgQz1,https://www.smartprix.com/mobiles/realme-p4-5g-ppd1xaayrjcv
pd1qc7i0he4,Motorola Edge 60 Fusion,24999,"₹24,999",-16.76423,94,67,IN_STOCK,4,13,"Dual Sim, 5G, VoLTE, Vo5G, Wi-Fi","Dimensity 7400, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",5500 mAh Battery with 68W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 13 MP Dual Rear & 32 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v15,UVypgfoE,https://www.smartprix.com/mobiles/motorola-edge-60-fusion-ppd1qc7i0he4
pd1dstqxdrx,Vivo X200T,59999,"₹59,999",-0.05659843,83,88,IN_STOCK,5921,13,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster","Dimensity 9400 Plus, Octa Core, 3.63 GHz Processor","12 GB RAM, 256 GB inbuilt",6200 mAh Battery with 90W Fast Charging,"6.67 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,[NO] Memory Card Not Supported,Android v16,7C2IkHHd,https://www.smartprix.com/mobiles/vivo-x200t-ppd1dstqxdrx
pd1ayfp2rd8,OnePlus Nord CE 4 5G,19999,"₹19,999",-0.010746056,84,66,IN_STOCK,686,13,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor","8 GB RAM, 128 GB inbuilt",5500 mAh Battery with 100W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v14,dJisQXHN,https://www.smartprix.com/mobiles/oneplus-nord-ce-4-5g-ppd1ayfp2rd8
pd16euew40d,Vivo T5 Lite 5G,10999,"₹10,999",0.0,91,54,RUMORED,5921,13,"Dual Sim, 5G, VoLTE, Wi-Fi","Dimensity 6400, Octa Core Processor","6 GB RAM, 128 GB inbuilt",7000 mAh Battery with 25W Fast Charging,"6.77 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 2 TB",Android v16,kF2lf5DY,https://www.smartprix.com/mobiles/vivo-t5-lite-5g-ppd16euew40d
